text,label
I tried activating my card and it didn't work,0
I need my card to be activated right now.,0
What information do I need to gather in order to activate my card?,0
what do i need to have with me to activate card,0
What am I going to need in order to activate my card?,0
Show me how to activate my card,0
I want to open an account for my children,1
How old do you need to be to use the banks services?,1
Whats the minimum age to have an account,1
Can my children open an account?,1
How old do I need to be?,1
What are age requirements for opening an account?,1
Is there any age limit?,1
We want to start a college fund for my daughter.,1
Hold old do my kids have to be to use the service?,1
Can I start an account for my kids?,1
How old does my daughter have to be to open an account?,1
What is minimum age for an account?,1
What is needed for my daughter to open an account?,1
What about my children?,1
What is the process for setting up and account for my child?,1
Is there an age limit to open an account,1
How old do my kids have to be use this?,1
Can I make an account for my kids?,1
I'd like to open an account for my kids can I do that?,1
Would it be possible to open up an account for children?,1
Do you have any age limit?,1
If I want my son to have his own account is that possible?,1
Could I open an account for children?,1
What does my daughter need to open an account?,1
Can my children get an account?,1
What is the age limit for an account?,1
What age do you have to be?,1
What is the appropriate age for my child to be able to open an account?,1
How do I open an account for my children?,1
What are the requirements to open an account for a minor?,1
are there age requirements,1
Is there an age limit for opening an account?,1
Can my 8 year old grandson open an account at the bank?,1
What is the minimum age required to open an account with your service?,1
"If I want to get an account for my daughter, can I do that?",1
How old do you have to be to open an account?,1
I have young kids. Can they use this service?,1
Do you have an age limit?,1
How old do you have to be?,1
Could my daughter open an account?,1
Can I open an account for my children?,1
What would the age limit be?,1
What are the age requirements for service?,1
I am 16 and just started working at McDonalds can I deposit my checks at your bank?,1
Is there a possibility to open an account for my sons and daughters?,1
Is there an age limit to get an account?,1
what is the age limit for opening a new account,1
Is my daughter eligible to open an account?,1
How do I set up an account for my children?,1
May I get an account for my daughter?,1
What is the minimum age limit?,1
How old must I be to open an account?,1
What is the age limit?,1
Can my children have an account?,1
Is there any way I could open an account for my daughter?,1
Can I get an account for my daughter?,1
How old do you need to be to open an account?,1
Do you offer account services for children and teens?,1
From which age can my kids use your service?,1
What is the youngest age for an account?,1
I have kids and I'm curious at what age could they start to use your service.,1
At what age can I open an account?,1
I'd like to open an account for my children. How can I do that?,1
Can I open up an account for my child?,1
Is there a limit for age?,1
How can I open an account for my children?,1
Do you have a children account available?,1
At what age can my children use your service?,1
I want to open an account for my child.,1
At what age can a person open an account?,1
How old do kids have to be to open an account?,1
What is your age limit?,1
How old do my kids need to be to use your service?,1
I would like to get an account for my child.,1
Would I be able to open an account for my daughter?,1
Can my teenager have an account?,1
What age do you have to be to open an account?,1
How old do my kids need to be to open an account?,1
As my kids get older are they able to get set up with their own accounts?,1
Is there an age limit to when my child can use these services?,1
How many years old do I have to be?,1
Do you have a limit for someone's age?,1
Do you have any accounts for children ?,1
Can my daughter make an account?,1
"I need to set up an account for my daughter, how would I do that?",1
How old can one use your service?,1
Do you have to be 18 to make an account?,1
Would I be able to get an account for my child?,1
Can I get an account for my son?,1
DO I have to be 18 to open an account?,1
Am I allowed to get an account for my daughter?,1
My daughter needs to open account.,1
Can I open an account for my offspring?,1
Do you offer account's for minors?,1
What are the age limits for your service?,1
How old do you need to be to have an account?,1
How old does my daughter need to be to have her own account?,1
"My son has just turned 13, is he old enough for an account?",1
Do you guys have any age restrictions?,1
Is there a minimum age for having an account?,1
"Hi, I have an apple watch. How do I use it to top up my card?",2
Can I use google pay to top up?,2
why top up is not working even if I got my American Express in Apple Bay?,2
Can I deposit money using Apple Pay?,2
Can I use google pay for topping -up,2
I do I top up from my Apple Watch?,2
"I need to top up, can I use google pay?",2
How do I go about topping up with Google Pay?,2
google pay top up did not work,2
Google play top up help?,2
What currencies does google pay top up accept?,2
Can I use my American Express card with Apple Pay?,2
Why can't I get my top up to work in Apple Pay?,2
Can I use my apple watch to top-up?,2
Is top-up possible with Apple Pay?,2
Why isn't my google top-up pay working?,2
What do I do if my Google pay top up isn't working?,2
Can I top up with Google Pay?,2
Am I able to use Apple Pay?,2
"I got my American Express in Apple Pay, why is top up not working in my country?",2
Can I add funds directly from my Apple Watch?,2
"Apple watch top up help, please?",2
"I am having a slight problem with my American express in apple play, can you help me fix the problem with top up?",2
"In regards to top-ups, can I do them via Google Pay?",2
How do you Top Up on the apple watch?,2
Am I able to top up with Apple Pay?,2
Can I use top-up with Apple pay?,2
"I want to top up from my Apple Watch, can I?",2
Can I use the apple watch to make a top-up?,2
"My American express works with my apple pay, why is top up not working?",2
I would like to know if I can top up with Google Pay.,2
Can I top-up via Apple Pay?,2
Can I top up using my apple watch?,2
Why is top up not working for my apple pay app,2
Can I use Apple Pay to top-up?,2
Why doesn't my Google pay top up work?,2
How can I set up Google Pay on my device?,2
Can you show me how to top up with Google play?,2
I seem to be having trouble with my Google Pay Top. Can you please help?,2
Does Google Pay offer a top up option?,2
"I got my American Express in Apple Pay, why is top up not working on my device?",2
How do I get Top Up to work in Apple Pay?,2
is apple pay a top up service?,2
How do I top up using my Apple Watch?,2
I want to top up my account. Can I do it with Google Pay?,2
Can I use my apple watch to top up?,2
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",2
Can I use my Apple Watch to pay for gas?,2
I would like to use top-up with my Apple Pay.,2
how do I get top up to work for my card,2
My google top-up pay is not going through,2
how do i set up my apple pay watch to connect to my account,2
need help with google pay top up,2
My Google pay top up isn't working.,2
"Help me please, My Apple Pay American Express top up does not work.",2
Are top-ups allowed using Apple Pay?,2
Is topping up with Apple Pay possible?,2
what can I do if I got my American Express in Apple Bay but top up is not working?,2
Top up is not working even though I have my AMEX in apple pay.,2
where do I top up my google pay?,2
"Using Google Pay, can I top up?",2
Why is top up not working if I use my American express with my apple pay?,2
Unable to use my American Express with Apple Pay to top up my account,2
Does my top up and apple pay work together?,2
I can't use top up on Google Pay.,2
"I have received my American express in apple play, looks like top up has an issue, please help?",2
Why isn't my google pay top up working?,2
Is it possible for me to top up with Google Pay?,2
Can apple pay handle top up exchanges?,2
Am I able to Top Up with Apply Pay?,2
How do i top up my google pay?,2
I want to top up with my Apple Watch.,2
Could google pay and top up be together?,2
I can't get google pay to work right.,2
Does google play offer the service to Top up?,2
Can I top-up my google pay?,2
Can I use American express with apple pay? Why does it make my top up not work?,2
Can I top up my account with Google Pay?,2
I cannot get my google pay to work.,2
Is there a way to top up using my Apple Watch?,2
I can't get my Google Pay Top to work. Are there any issues on your end?,2
can I top up an apple pay?,2
Can you explain why my Google Pay Top isn't working?,2
Am I able to do top-ups with Google Pay?,2
What are the steps needed to top up with Apple Pay?,2
"i received my American Express in Apple pay, is there a reason why top up is not working?",2
Google Pay Top up isn't working,2
Can you help me get Top Up to work in the Apple Pay function?,2
Will be Apple Watch be able to let me top up?,2
How can I top up with my apple watch?,2
What services can I use to top up?,2
Can an apple watch be used to tup-up?,2
Can I use my Apple watch to fill my gas tank?,2
Why isn't my Google Pay top up working for me? Did I do something wrong?,2
What should I do to top up using my Apple Watch?,2
my google pay seems to be acting up.,2
"top up google pay, is it possible?",2
is it possible to top-up with google pay.,2
how do i setup my apple pay,2
is there a way to do top up with apple pay,2
I can use this card at which ATMs?,3
Can I use the card at any cash machine?,3
What locations can I get money from?,3
What ATMs take this card?,3
Which ATM's can I use to make a withdrawal?,3
Do all ATMs accept this card?,3
Will this card work at any ATM?,3
Which ATMs am I allowed to get money from?,3
Where is the closest ATM to me?,3
Which ATMs accept this bill of fare ?,3
Do I have to use a bank approved ATM to withdraw money?,3
How do I withdraw money?,3
Can I use this card at any ATM?,3
What locations allow me to withdraw money?,3
What ATMs accept my card?,3
Can I use my card to withdraw from my account?,3
Can you tell me where I can withdraw money?,3
What kind of ATMs would this card be accepted at?,3
Are there specific ATM's that I can draw money from?,3
Where can money withdrawals be made?,3
Do I have to use bank approved ATM's,3
Where can I find Mastercard ATMs?,3
What ATMs can I use my card at?,3
What ATM machines allow this card?,3
Where can I do a cash withdrawal?,3
Where should I withdraw money from?,3
Where are the ATMs that accept this card?,3
Is there a way to find an ATM around me?,3
Will any ATM's decline my card?,3
What ATMs can I use my card?,3
What cash stations take this card?,3
"
At which ATMs can I use this card?",3
Please provide me a list of ATMs that accept my card.,3
Can I use my card at an ATM?,3
Where is the closest ATM I can use?,3
Where is the nearest Mastercard ATM?,3
Where can I get money from my card?,3
How can I find an ATM that accepts this card?,3
I need an ATM right now!,3
Which ATMs accept Mastercard?,3
What is the closest ATM?,3
What ATMs use this card?,3
What ATMs can I use this card?,3
Can I get money out of any machine?,3
Is the closest ATM to me within 2 miles?,3
I need to withdraw money. Where can I do that?,3
Can I use my card in another institutions ATM?,3
Where is a ATM that accepts Mastercard?,3
Where are the Mastercard ATMs?,3
Where can I withdraw money from?,3
"
Where can I withdraw money from?",3
Can I use a different bank ATM than my own?,3
need to know places i can withdraw money,3
The card can be used at which ATMs?,3
What's the closest place to withdraw money?,3
Is there a list of ATMs that take this card?,3
Is there a Mastercard ATM nearby?,3
Am I limited to what ATM I can use my card?,3
how do I know where I can get money withdrawn?,3
Tell me what ATMs take this card.,3
Where are the ATMs that I can use Mastercard?,3
Where is an ATM?,3
Which locations can I withdraw money from?,3
Can this card be used at all ATMs?,3
Are there any ATM's near me that accept this card?,3
I need help from someone in your department with finding my nearest ATM.,3
what are the locations i can withdraw money,3
Which ATMs accept this circuit board ?,3
How many ATMs will take this card?,3
What ATMs can I use this card at?,3
Is this card accepted by ATMs?,3
Are there only certain ATM machines where I can use this card?,3
Where can I find a Mastercard ATM?,3
Tell me what ATMs use this card.,3
Which ATMs take the card?,3
How far is the closest ATM from me?,3
Can you tell me the ATMs I can use with my card?,3
Where is a Mastercard ATM?,3
I need to know where I can withdraw money.,3
Are there specific ATM's I can use with this card?,3
Where can I find an ATM?,3
How can I tell if an AMT will take this card?,3
How do I know it is a Mastercard ATM?,3
"ATMs, which ones will accept this card?",3
What ATM locations are near me?,3
What ATM accepts Mastercard?,3
Can I withdraw from any ATM?,3
Can I add money automatically to my account while traveling?,4
i need help finding the auto top up option.,4
What are the maximum amount you can do for auto top-up?,4
I can't find the auto-top up option.,4
Does the auto top-up have any limits?,4
When do i activate auto top-up?,4
Can I have money transferred into my account at different intervals along my trip?,4
"I going to be traveling, can I set up auto top-up if I run low on money?",4
Is there an automatic top up feature?,4
Can I have my account add money automatically in certain intervals?,4
Is there a daily auto top-up limit?,4
How do I access the option to top up?,4
I will be traveling.  Can I add money automatically?,4
How low does the balance have to be before the system updates?,4
Is there a auto top-up option?,4
How do i set up auto top-up?,4
"If there isn't much money left over, will it top-up automatically?",4
Do I need to set a limit on auto top-up?,4
can you top up your account automatically,4
Can I add money to my card automatically during a trip?,4
Is an auto top-up option available?,4
Can I auto top if I'm low on funds?,4
Tell me where I can find the auto top up feature and a little bit about it please.,4
How do I start auto top up?,4
I am inquiring about your auto top up feature.,4
Can i set up an auto top-up?,4
Are there any limit on the auto top-up?,4
Is it possible to do auto top up?,4
is there a way to do automatic top up,4
I would like to top up my account automatically. How do I do that?,4
I want to set up an auto top-up,4
If I don't have much money in the account can I auto top-up?,4
Can I schedule future top ups?,4
Can I set automatic top ups?,4
I need to know the if there is a limit on the amount for auto top-up.,4
Can I set up to my account to automatically top up?,4
Does the app top up automatically?,4
"If there isn't a lot of money left, will it automatically top-up money?",4
In what increments can I top-up my card?,4
Does auto top-up have a limit?,4
If I am running low on credit can I auto top up?,4
Is there an auto top up feature?,4
Is there such thing as an auto top-up option?,4
How can I Use thereto-top option?,4
when i travel can it top up automatically,4
Is there an auto top up option?,4
Where do I find the auto top- up?,4
How can I add money automatically?,4
Where can I located the auto-top up option?,4
"I'm going to travel, can I have it add money automatically in certain intervals?",4
I will be traveling and want money to be added automatically in certain intervals. Is this possible?,4
Do I have to manually top up once I'm too low?,4
How will I know when I can use the auto top-up feature?,4
What are the auto-top up policies?,4
Can I auto-top up?  How do I do it?,4
How do I get refills to my card when I'm traveling?,4
What is the limit on Auto top?,4
How do I auto top-up?,4
Can it add money automatically while travelling,4
Is auto top up a provided service?,4
When the time is right will this automatically replenish my balance?,4
Will money be added automatically when necessary?,4
Can I automatically top-up when traveling?,4
What is the maximum for auto top-up?,4
Is there a way to top-up when it reaches a certain balance?,4
Can I set the account to auto top-up?,4
Are there any hidden limit on the auto top-up?,4
"I am traveling, what can I do to set up auto top-up?",4
"What are my options for topping up, automatic and/or manual?",4
"When I travel, can it automatically add money in certain intervals?",4
Is auto top up available?,4
I want to auto top-up.,4
When I'm traveling is it possible to add money automatically at certain time points?,4
Do you offer auto top ups?,4
Is there a limit on auto top-up?,4
I'm trying to activate the auto-top up function. Where is it?,4
What's the limit for auto top-up?,4
How do I top-up automatically?,4
How do i access the auto top-up option?,4
Where can I find the auto-top up feature?,4
"If my funds are running low, will the app top up automatically?",4
Can I set it up to add money every few days automatically while I am traveling?,4
I want to add money automatically when I travel.,4
Is there a function where I can top-up automatically?,4
Can I use an auto top-up option?,4
Can topping up be automatic?,4
Can I auto top up multiple times?,4
I want to use auto top-up. Is there a limit?,4
Do you have an option for auto top up?,4
How do I activate auto top-up when traveling?,4
Where can I find the auto-top option?,4
What is the maximum times I can auto top-up?,4
How many times can I auto top-up?,4
What are the auto top-up policies?,4
"What, if any, is the limit  for auto top-up?",4
"If my account is low in funds, can I set an auto top-up?",4
Will the system automatically top up itself?,4
Can I get an auto Top-up?,4
Where do I find the auto top up option?,4
What are the restrictions on auto top-up?,4
help my money isnt showing up,5
how do i see what i transferred,5
Hello. Can you help figure out why the recent transfer from my UK bank account isn't showing up?,5
I've made a transfer from France two days ago but I was wondering if international transfers take longer to arrive because it hasn't made it yet.,5
After I transferred money the balance remained the same.,5
Where is the money that I transferred.,5
"About two days ago now, I made a transfer from France but it hasn't arrived yet. Is it possible that the international transfer just takes longer?",5
Why is my balance the same after a transfer?,5
How long will it take for a bank transfer to show up on my account? It's been a couple hours but I havnt seen anything yet. Also it's from a UK account if that makes any difference.,5
The transfer I made isn't reflected in my balance,5
Can you please check my UK Account to make sure everything went alright?  I made the transfer a couple of hours ago.,5
"Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this.",5
"Hello I made a bank account transfer from the UK. The transfer was a couple hours ago, nothing has shown up yet.  Can you check to see if everything okay. Please.",5
My balance didn't change after I transferred some money.,5
I've transferred money into my account but the balance is the same,5
Money that I have transferred hasn't arrived yet,5
I made a transfer from France two days ago now but there hasn't made it there yet. Do international transfers take longer?,5
I transferred money but the balance did not update.,5
I am wondering about a transfer from a different country that doesn't show up yet?,5
I just made a transfer from a UK account. How long does that typically take to show up? I just want to make sure it worked alright.,5
I just made a transfer from France 2 days ago. It has not yet reached my bank. Is it possible it takes longer because it was an international transfer?,5
Im going to need to make a transfer from a UK account but I need it to go through ASAP. Is that going to be possible or will it take forever?? Im hoping it will be a couple hours and not a couple weeks.,5
How long before a bank transfer shows up in the account?,5
How soon will my balance be updated to reflect my transfer?,5
My transfer into my account isn't showing up.,5
How can I fix my bank transfer to show up on my bank account?,5
when does my balance update for a transfer,5
There is a transfer not showing on my account.,5
It is common for an international transfer to take 2 days or longer? I made a transfer from France 2 days ago and I have not seen it yet.,5
I did a money transfer to my account and it is not showing there.,5
I was wondering if international transfers take longer than normal because I made a transfer from France a couple of days ago and nothing has happened yet?,5
What's the time frame normally for a UK account transfer? I just made one and it's not showing up anywhere. I want to be sure that everything is good.,5
My latest transfer seems to be missing.,5
Is there a longer processing time for international bank transfers?,5
Balance hasn't been updated following a bank transfer,5
Why isn't the transfer to my account showing up?,5
Where is my money that I transfered?!,5
"The other bank confirmed a transfer I made, but this account is not reflecting it yet.",5
Why can't I see a transfer to my account?,5
"Hi, I made a transfer from France two days ago and thought it would be here by now. Can you give me an update please?",5
My balance doesn't include my latest transfer,5
How long do bank transfers take to clear,5
How long to UK transfers usually take? I made a transfer but it didn't pop up in my history yet. I just want to make sure it went through.,5
I had transferred some money but the balance hasn't changed.,5
My balance was not updated after transferring money.,5
"For you, how long do transfers normally take from a UK account? I completed one just now but nothing appears. I just need to be sure everything is okay.",5
Do international transfers take longer?? I made a transfer from France 2 days ago but it's still not there yet...,5
I am still waiting for a transfer I did,5
How long does it take for a bank transfer to show on my balance?,5
I transferred some funds but I don't see it,5
"How long do transfers to international banks take? I made one to france a couple of days ago, but it's still not there.",5
The money that I have transferred hasn't arrived yet.,5
How long do transfers take to show up in my account?,5
How long does it take for a transfer to post,5
My money hasn't been transferred yet.,5
What is the normal time to make an international transfer? I made one a few days ago that still hasn't arrived.,5
Tell me why my balance did not change when I tranferred cash.,5
I completed a transfer that isn't showing up on my account.,5
How long does transfers take?,5
I did a transfer but the balance is the same.,5
I made a transfer but my balance hasn't been updated,5
I transfered my balance a while back.  Why doesn't my account reflect this?,5
When will I see an updated balance after a transfer?,5
I am still waiting on my bank transfer,5
There is a missing transfer on my account,5
After making a transfer from a UK account it's not showing up. How long do these transfers normally take for you? I want to be certain everything is all right.,5
Can you check if my money has reached my account since it is not showing up yet?,5
Why hasn't my money transfer shown up yet?,5
Please check to see if the band transfer I made a while ago from my UK account has safely arrived.,5
Where is the transfer to my account?,5
"I made a bank transfer earlier from my UK account.  I don't see it yet, can you check the status?",5
Why isn't my balance reflecting a transfer I did?,5
"I made a bank transfer from my UK account today, but it's not showing.  Can you check status?",5
How long do I need to wait to see an update after I make a bank transfer?,5
Why isn't my balance updating?  I did a bank transfer and it isn't current.,5
"Hello, can you please inform me about international transfers? I am expecting a transfer I made from France two days ago and would like to know when it will arrive.",5
I added money through a bank transfer and it is not showing in my balance.,5
when will the balance on my account change form a transfer,5
What is the time frame that transfers normally take from a UK account? I just completed a transfer and nothing shows up. I need to know if everything is alright.,5
I have transferred some money but the balance hasn't changed,5
The balance does not appear to have updated.,5
Why hasn't my account updated to reflect my current balance?,5
Where is the transfer that I did?,5
After transfering some money my balance hasn't changed.,5
"How long does a transfer from a UK account take? I just made one and it doesn't seem to be working, wondering if everything is okay",5
The transfer on my account is not showing up.,5
When will my transfer come through?,5
I haven't yet received money that I transferred,5
"How long do transfers from a UK bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",5
How long does a bank transfer take to show up in available funds?,5
The balance has not been updated.,5
"Although I transferred some money, it has not as of yet, arrived.",5
I am wondering if International Transfers take longer. I a made a transfer from France two days ago and believed it would be here already. Please let me know when I will get it!,5
I don't see any change in my balance.,5
"I just transferred some money into my account and do not see it updated yet, can you assist?",5
I can still see money in my account after making a payment,5
I need to know if everything is okay here. After making a transfer from a UK account it doesn't show up. How long does this normally take to process?,5
I made a bank transfer but it doesn't seem to have gone through?,5
How long does it typically take to make a transfer from a UK bank? I just made one and it hasn't shown up in my account yet.,5
"Hi. A couple hours ago I make a transfer from my UK bank account, but it hasn't shown up. Please, would you see what the delay is?",5
Why is my last cheque deposit taking so long?,6
I am still waiting for a the cash I deposited this morning,6
"I tried using a check to update my balance, but it isn't work? Is something wrong?",6
I deposited cash but it isn't showing up in my account,6
I put some cash into my account but it's not displaying that on my balance.,6
Why hasn't my cash been deposited yet?,6
"Hi, I want to inquire about my balance. Some cash was deposited and it hasn't updated yet.",6
I deposited a check yesterday and im not seeing it posted yet in my account. why is that? can you look into it?,6
"I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this",6
"The cheque I sent a few days ago has not been deposited yet, what is the hold up?",6
cash and check deposit has not gone thru,6
"my balance has not changed, despite depositing a cheque",6
Why did my cash deposit not show up?,6
Why is my money not in my account. I have already sent it out.,6
I placed a cash deposit in my account but I can't see it yet.,6
I'm not seeing my cash deposit showing up in my account.,6
Last week I put a cash deposit into my account and it is still isn't there.,6
I checked the app and my balance has not been updated for the cash or cheque deposit.,6
"I put some money in my account the other day and it's not gone in yet, can you help with this?",6
I did a cash deposit to my account but it doesn't show up,6
I can't see my cash deposit in my account.,6
"I deposited money in the form of a cheque, but my balance has not increased.",6
Where is the cash deposit I made?,6
"I can't figure out why I haven't gotten my cash, when I already put the check in the bank.",6
Why is my deposit still pending?,6
I made a cash deposit and the balance wasn't updated.,6
I did a cash deposit to my account but my balance is still the same. What happened?,6
I just deposited cash to my account and can't find it!,6
Online banking is not showing my cheque or cash deposit so the balance is incorrect.,6
i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong?,6
When will my cheque be processed?,6
What happens if I deposit a cheque accidentally?,6
Why isn't my cheque deposit showing on my account?  I though it would be faster and would like to to look into it and help.,6
When will my deposit from this morning show up?,6
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,6
Where is my missing cheque I deposited?,6
My balance doesn't show my deposit.,6
My account balance doesn't reflect an update I made by cheque yesterday. Is something wrong or is the system slow?,6
I made a deposit and the balance hasn't been updated.,6
I have yet to receive the cash I added to my account this morning.,6
Why isn't my cash deposit showing up in my account?,6
"I deposited some cash but it hasn't shown up in my account yet, what's going on?",6
I deposited a cheque but the cash hasn't arrived yet,6
I've already sent the money out and still have not received money in my account.,6
I have made a recent check and cash deposit that isn't reflected in my balance.,6
I placed a cheque but the funds aren't there,6
The cheque I sent to you to have deposited a couple days ago has not cleared in my account yet. What is the issue?,6
"the balance has not changed, but I have deposited some money",6
"I am worried about the amount of my cheque, which should be credited to my account few days before. As i have already sent you the cheque.",6
I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this?,6
I've deposited a check but the cash isn't showing that it's there yet.,6
Waiting for the cash I deposited this morning still,6
"I put cash in my account, but I don't see it.",6
Where did the money I deposit go??,6
"I Submitted a cheque couple of days ago, nothing happened to my account yet.What could be the possible issue?",6
I made a cash deposit a few days ago and it's still not reflected in my account. Do you know what might have happened?,6
Why is the cash not showing in my account for the check I deposited?,6
When will the check I deposited post to my account?,6
How do I see my updated balance after I make a cheque or cash deposit?,6
Why isn't my deposit in my account?,6
Where is my cash deposit in my balance?,6
Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,6
"I deposited cash this morning, but it's not showing up in my account. Can you tell me where's my money?",6
How long does it take for a cheque to post to your account?,6
Why has my account balance not changed after depositing a cheque?,6
Where is the cash I deposited?,6
Why is my balance still the same after a cheque deposit?,6
Why is my check still not showing up on my account? It's been a week already,6
Why isn't my balance updating after depositing cheques and cash.,6
My cash deposit isn't in my account. What happened?,6
I updated by balance with a cheque yesterday but it isn't showing on my account. Did something go wrong?,6
I sent you a cheque a few days ago and I noticed that nothing has happened yet. Can you tell me the status of my cheque please?,6
Why isn't my deposit showing up?,6
My balance was not updated with my checque or cash deposit.,6
"Help! I'm missing money, I deposited a cheque but its not showing on my balance.",6
My cash deposit from a week ago is still not in my account. Can you help me please?,6
I made a deposit but it is not showing up in my balance.,6
I sent a cheque a few days ago and i noticed that no money has been put on my account. Can you please tell me the situation of my account?,6
The cheque I deposited isn't showing in my account,6
my check or cash deposit has not shown up,6
Why isn't my cash deposit showing up in my account? I deposited it this morning.,6
"I deposited a cheque, why isn't my balance showing that I did?",6
Why hasn't my cash arrived from a deposited check?,6
"I put money in my account a week ago but its still not there, what is happening?",6
"I made a cash deposit, but it hasn't shown up in my balance yet.",6
"When will I see my cash, since I already deposited my check?",6
"Hi,  My money has not been credited to my account for which i have sent you cheque few days before. I am worried about the money please let me know the status.",6
I haven't seen the cash yet from the cheque I deposited.,6
I've deposited a check in my account but the cash isn't showing as available.,6
"I sent a cheque to you a few days ago and the deposit has yet to appear in my account. I need this money, what is the problem?",6
What's going on with my balance? Shouldn't it be a bit higher since I deposited a cheque a day ago?,6
Why am I not seeing the check I deposited this morning in my account?,6
Do you guys accept cash? Because i deposited some this morning and I can't see it in my account.,6
My cash deposit hasn't posted to my account.,6
"I had a cheque deposited, but I don't see my money yet?",6
My balance is not right. It has not been updated for the cash or cheque deposit.,6
"After I deposited my cash, I still don't see it in my account.",6
I made a cash deposit going to my account but it is not there,6
"I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please",6
My cheque deposit didn't seem to work.,6
is there something blocking me from making transfers,7
What are the reasons for my beneficiary not being allowed?,7
Is there something wrong with the transferring functions? I keep trying to transfer funds and only get an error message.,7
What are the reasons a beneficiary would be denied?,7
A transfer to my account was denied.,7
Why was I not allowed to do a transfer to a beneficiary?,7
I got a message that my transfer is not possible.  What is happening?  I need this to go through please.,7
What is the reason for my beneficiary to be disallowed?,7
Can someone explain why I'm getting a message on my screen saying my transfer isn't possible? I've done several in the past and haven't had a single problem until now. What's going on?,7
I tried transferring to an account but it won't let me.,7
It's not letting me transfer money to my beneficiery.,7
My transfer to an account failed.,7
Why is my beneficiary not allowed?,7
For some reason I am unable to preform a transfer to a beneficiary.,7
My beneficiary is not allowed?  Why?,7
I tried to transfer funds to a beneficiary and was denied. Can you tell me why?,7
What is the reason I couldn't do a transfer to a beneficiary?,7
I got a message that I cannot name X as a beneficiary.,7
Why am I not allowed to add a certain beneficiary?,7
Why can't my beneficiary access my account?,7
